Angela Rayner	5189	AngelaRayner	53	66056
Chris Adams	4097	_Chris_Adams	85	65739
Will Cass	4257		53	65739
Lee Lyons	5036		52	14403
Ian Middleton	5126	IanMiddletonX	63	66008
Sean Woodcock	4258	SEANLWOODCOCK	53	66008
Victoria Prentis	4907	VictoriaPrentis	52	66008
Roseanne Edwards	3854		1931	66008
Dickie Bird	4908	DickieUKIP	85	66008
Dr Eilidh Whiteford	2044		102	14404
Roger Gravett	4937		85	65662
Tony Ford Rablen	4868		63	65662
Mina Rahman	4155		52	65662
Joseph Mambuliya	5339		804	65662
Dave Gibson	5343		804	65665
Dan Jarvis	5266	DanJarvisMP	53	65665
Michael Dugher	2072		53	66012
Noel Matthews	5397		85	66006
Robert O'Hara	5299		63	66006
John Woodcock	1813	JWoodcockMP	53	66006
Clive Peaple	5441	BandFLibDems	90	66006
Simon Fell	5174	simonfell	52	66006
George Konstantinidis	5368	georgekonukip	85	65898
Gavin Callaghan	4259	Callaghan2015	53	65898
Janice Spalding	4475		90	65623
Paul Harvey	4260		53	65623
Sarah Downes	4848		52	65711
Leon Duveen	4476	LD4Bassetlaw	90	65711
Oliver Middleton	4261	Ollie_Middleton	53	65798
Steve Bradley	4477	Bradley_Steve	90	65798
Ben Howlett	4156	ben4bath	52	65798
Julian Deverell	4862	JulianDeverell	85	65798
Dominic Tristram	4707	dominictristram	63	65798
Jo Cox	4262	Jo_Cox1	53	65751
Imtiaz Ameen	5081	imtiazameen	52	65751
Dave Hampton	4904	dave4beaconsfld	63	65687
Ruth Fabricant 	5234		63	65725
Bob Stewart	4074		52	65725
Paul Tew	5143	paultewukip	85	65725
Steve Watson	4725		2269	65561
Richard Fuller	2925		52	65561
Mahmud Henry Rogers	4478	MahmudHenryR	90	65561
Charlie Smith	4816	charlie_ukip	85	65561
Ben Foley	1602		63	65561
Patrick Hall	2466	patrickhall4mp	53	65561
Neil Wilson	5404		51	66124
Naomi Long	2454	naomi_long	103	66124
Gavin Robinson	4595	grobinsondup	70	66124
Jason O'Neill	4598		103	66125
Máirtín Ó Muilleoir	4597		39	66126
Paula Bradshaw	1679	paulajaneb	103	66126
Alasdair McDonnell	3431		55	66126
Paul Maskey	4603		39	66127
Neil Coyle	4264	coyleneil	53	65689
Jean-Paul Floru	5412	jpfloru	52	65689
Simon Hughes	3434		90	65689
Anne-Marie Trevelyan	189	annietrev	52	65726
Scott Dickinson	4265		53	65726
Julie Pörksen	4479	JuliePorksen	90	65726
John Lamont	141	John2Win	52	14405
Matthew Smith	4157	Matt4BGandB	52	65853
Alistair Polson	4752	AlistairPolson	63	65853
Margaret Pinder	5190		53	65934
Denis Healy	2131		90	65934
Michelle Thew	4266		53	65845
Geoffrey Bastin	5002	Geoffbastin	85	65845
Rachel Sadler	4480	RachSadlerTW	90	65845
Huw Merriman	2210	HuwMerriman	52	65845
Chris Attard	5129	chrisukip	85	65611
Stella Gardiner	5101	GreenStell	63	65611
Stefano Borella	4267	StefBorella	53	65611
Allan Brame	5428		90	65581
